北京爱数智慧语音采集我们聊的第一个话题是娱乐  (G0004_S0001_0_SPK001-26.048-31.870.wav)
嗯对的  (G0007_S0001_0_SPK003-1226.930-1227.850.wav)
啊我也喜欢吃 i like it i like it当我在吃 noodles的时候我觉得我就想加一点泡菜  (G0007_S0001_0_SPK003-1236.548-1244.288.wav)
对比如你平常在  (G0007_S0001_0_SPK003-1247.930-1249.510.wav)
做那种清淡的日识过就是小火锅 the hot port我觉得加一点跑菜餐里面就是  (G0007_S0001_0_SPK003-1250.196-1256.590.wav)
 delicious  (G0007_S0001_0_SPK003-1256.978-1258.060.wav)
嗯韩国的 hotpo的因为你知道他们比较出名的部队过对不对  (G0007_S0001_0_SPK003-1264.910-1269.552.wav)
 the阿斌  (G0007_S0001_0_SPK003-1270.460-1271.591.wav)
 the armyport就因为他们在军队里面的时候  (G0007_S0001_0_SPK003-1272.350-1276.050.wav)
就因为比较寒冷嘛 the weather is cold所以他们就会聚在一起吃这个嗯 army po  (G0007_S0001_0_SPK003-1276.306-1282.776.wav)
因为每个人都会感觉非常的无论就比较温暖嘛  (G0007_S0001_0_SPK003-1282.835-1287.062.wav)
嗯对  (G0007_S0001_0_SPK003-1289.780-1290.700.wav)
嗯  (G0007_S0001_0_SPK003-1296.830-1297.540.wav)
嗯  (G0007_S0001_0_SPK003-1303.370-1303.960.wav)
就比如说剩余的一些 meat vegetable potatoes  (G0007_S0001_0_SPK003-1308.950-1313.680.wav)
就可能只会伸一些土豆 potatoes  (G0007_S0001_0_SPK003-1313.960-1316.380.wav)
嗯对现在也非常流行到中国了 it's very famous in china就是你如果去那种  (G0007_S0001_0_SPK003-1326.140-1332.670.wav)
烤肉店 barbeq shop或者是炸鸡店  (G0007_S0001_0_SPK003-1332.830-1336.368.wav)
嗯 f chicken shop你  (G0007_S0001_0_SPK003-1337.454-1341.046.wav)
对你可能就会吃到二倍 po者对  (G0007_S0001_0_SPK003-1341.579-1345.330.wav)
嗯 with a bear  (G0007_S0001_0_SPK003-1346.550-1347.568.wav)
 the be  (G0007_S0001_0_SPK003-1348.486-1349.223.wav)
你一定看过那个电视剧里面我觉得里面我觉得最好吃的美食可能就炸鸡配啤酒 the fri chicken with a beer  (G0007_S0001_0_SPK003-1349.493-1357.484.wav)
嗯  (G0007_S0001_0_SPK003-1364.390-1365.100.wav)
嗯对 french friends  (G0007_S0001_0_SPK003-1368.140-1370.170.wav)
嗯对但是你不喜欢对不对 you don't like  (G0007_S0001_0_SPK003-1374.020-1377.310.wav)
嗯  (G0007_S0001_0_SPK003-1379.960-1380.610.wav)
嗯嗯对 with a lot of oil因为它是用那个 oil炸出来的你知道的  (G0007_S0001_0_SPK003-1383.368-1389.082.wav)
可能就会有很多 o u在里面  (G0007_S0001_0_SPK003-1389.380-1392.760.wav)
然后嗯谈到这一个在你们家你觉得你爸妈给你做的最好吃的美食是什么呢  (G0007_S0001_0_SPK003-1393.148-1400.350.wav)
 the most delicious food buy your money or daby  (G0007_S0001_0_SPK003-1401.080-1404.550.wav)
嗯  (G0007_S0001_0_SPK003-1410.710-1411.450.wav)
对你的妈妈平常最喜欢做什么呢  (G0007_S0001_0_SPK003-1412.870-1416.103.wav)
嗯  (G0007_S0001_0_SPK003-1421.330-1422.100.wav)
嗯 dumplings就  (G0007_S0001_0_SPK003-1424.838-1426.750.wav)
你平常在家里面也还是和你妈妈做家里面最喜欢吃的 dumplings the favorite food right  (G0007_S0001_0_SPK003-1426.909-1433.189.wav)
哦  (G0007_S0001_0_SPK003-1433.877-1434.816.wav)
运  (G0007_S0001_0_SPK003-1439.900-1440.640.wav)
哦我知道了就是你觉得很轻松又方便而且平常 everyday就每一天你都可以吃到对不对  (G0007_S0001_0_SPK003-1445.528-1452.230.wav)
嗯我平常在家里的时候可能会比较喜欢  (G0007_S0001_0_SPK003-1453.520-1458.595.wav)
我觉得妈妈做做美食可能就最喜欢的就是那个 soup  (G0007_S0001_0_SPK003-1458.723-1463.110.wav)
就比如说  (G0007_S0001_0_SPK003-1463.450-1464.663.wav)
鱼汤就飞洗漱  (G0007_S0001_0_SPK003-1465.004-1466.721.wav)
我觉得很好喝你下次可以来我家里让我妈妈做给你喝因为你最喜欢吃鱼  (G0007_S0001_0_SPK003-1466.937-1473.612.wav)
你喜欢吃废机所以你想起来可以来喝喝我们家的废习素  (G0007_S0001_0_SPK003-1473.897-1477.948.wav)
然后平常的话可能就还有一些  (G0007_S0001_0_SPK003-1478.478-1482.301.wav)
 me so就肉汤会加各种不同的肉在里面熬出来的糖也很有小的词  (G0007_S0001_0_SPK003-1482.408-1488.670.wav)
嗯嗯也一样  (G0007_S0001_0_SPK003-1494.170-1496.380.wav)
嗯  (G0007_S0001_0_SPK003-1498.280-1499.080.wav)
有我也喜欢我我喜欢 meat你知道每一顿我如果不吃肉的话可能都会感觉自己没有吃饱  (G0007_S0001_0_SPK003-1499.862-1507.021.wav)
 i'm hungry  (G0007_S0001_0_SPK003-1507.227-1508.710.wav)
呀  (G0007_S0001_0_SPK003-1510.970-1511.920.wav)
现在因为我自己不是在成都自己居住嘛 i stay alone  (G0007_S0001_0_SPK003-1512.367-1518.099.wav)
所以我平常和我男朋友的话我们做美食可能就会吃大量的肉 lot of meat  (G0007_S0001_0_SPK003-1518.259-1525.120.wav)
就可能会包括鸡肉鸭肉嗯或者是猪肉各种不同的就的 chicken的大  (G0007_S0001_0_SPK003-1525.459-1532.510.wav)
 all the poor  (G0007_S0001_0_SPK003-1533.258-1534.415.wav)
嗯 yeah i like chicken very much  (G0007_S0001_0_SPK003-1535.470-1538.532.wav)
嗯嗯  (G0007_S0001_0_SPK003-1543.880-1545.370.wav)
你平常做嗯如果你吃鱼的话你会怎么去做呢  (G0007_S0001_0_SPK003-1546.130-1550.590.wav)
你会把它做成 fish hot port你会把它做成雨火锅还是说就红小雨呢  (G0007_S0001_0_SPK003-1550.630-1557.700.wav)
红烧 fish  (G0007_S0001_0_SPK003-1558.190-1559.585.wav)
哦给了  (G0007_S0001_0_SPK003-1563.143-1564.090.wav)
 ok  (G0007_S0001_0_SPK003-1564.550-1565.650.wav)
给你给自己尝试去做一做不同的语对不对  (G0007_S0001_0_SPK003-1569.248-1573.810.wav)
我平常可能就吃 chicken  (G0007_S0001_0_SPK003-1573.940-1576.660.wav)
去感就各种嗯干锅 chi肯就不同的肌肉做法  (G0007_S0001_0_SPK003-1576.970-1582.240.wav)
下一次可以邀请你当我家里来  (G0007_S0001_0_SPK003-1582.610-1585.150.wav)
嗯 you come to my home and eating the fish  (G0007_S0001_0_SPK003-1585.580-1589.740.wav)
 it the jack  (G0007_S0001_0_SPK003-1590.230-1591.210.wav)
嗯  (G0007_S0001_0_SPK003-1593.260-1594.293.wav)
你  (G0007_S0001_0_SPK003-1595.750-1596.250.wav)
嗯对嗯那么你到这里你觉得你是一个程程度人对不对又要程度 people  (G0007_S0001_0_SPK003-1605.530-1612.953.wav)
你觉得你在成都吃你觉得成都的美食只能选一个的话你会选哪一个呢  (G0007_S0001_0_SPK003-1613.178-1619.770.wav)
 you choose one就选择一个  (G0007_S0001_0_SPK003-1619.960-1622.050.wav)
嗯 you need to think呃 you think think  (G0007_S0001_0_SPK003-1627.130-1630.510.wav)
 the chicken the dark鸡肉鸭肉还是牛肉 b  (G0007_S0001_0_SPK003-1630.550-1636.090.wav)
 how about  (G0007_S0001_0_SPK003-1636.610-1637.320.wav)
 hotport really  (G0007_S0001_0_SPK003-1638.560-1640.020.wav)
哦你知道我今天晚上就要去吃什么吗 hotport你想不想跟我一起去  (G0007_S0001_0_SPK003-1641.596-1647.661.wav)
 out this evening我经我会和我男朋友一起去  (G0007_S0001_0_SPK003-1649.780-1654.030.wav)
 together  (G0007_S0001_0_SPK003-1654.310-1655.080.wav)
因为你知道作为四川人称多人对不对我们不吃火锅干什么 with a lot of bars  (G0007_S0001_0_SPK003-1657.802-1665.250.wav)
嗯  (G0007_S0001_0_SPK003-1668.770-1669.300.wav)
嗯  (G0007_S0001_0_SPK003-1670.720-1671.310.wav)
嗯  (G0007_S0001_0_SPK003-1675.220-1675.990.wav)
鸟  (G0007_S0001_0_SPK003-1677.110-1677.730.wav)
于宋嗯你知道现在成都还有一个  (G0007_S0001_0_SPK003-1678.970-1682.922.wav)
我知道叫什么  (G0007_S0001_0_SPK003-1683.988-1685.331.wav)
 milk tea就奶茶 milk tea hotpot就奶茶火锅  (G0007_S0001_0_SPK003-1685.538-1690.475.wav)
就你一边吃这个 hot pot喝牛肉嘛冰说  (G0007_S0001_0_SPK003-1690.485-1694.422.wav)
煮着些肉之类的啊对一边 you can drink the milk tea就一边你还可以喝奶茶啊真的是  (G0007_S0001_0_SPK003-1694.669-1701.700.wav)
还不错的是不是 that's great  (G0007_S0001_0_SPK003-1706.768-1709.120.wav)
对  (G0007_S0001_0_SPK003-1711.760-1712.590.wav)
对的嗯所以你今天晚上准备去吃什么美食呢  (G0007_S0001_0_SPK003-1713.050-1717.032.wav)
嗯 this evening  (G0007_S0001_0_SPK003-1717.400-1718.800.wav)
嗯  (G0007_S0001_0_SPK003-1723.010-1723.690.wav)
嗯比如说  (G0007_S0001_0_SPK003-1724.750-1725.880.wav)
 ok the fish hoport or the hot fi  (G0007_S0001_0_SPK003-1729.280-1733.821.wav)
 the ho fish的果异  (G0007_S0001_0_SPK003-1734.416-1736.410.wav)
就你想去吃过鳄鱼  (G0007_S0001_0_SPK003-1736.450-1738.210.wav)
又你最喜欢的就是废弃了对不对  (G0007_S0001_0_SPK003-1739.894-1742.800.wav)
嗯我最喜欢的可能还是 chicken鸡肉因为有各种不同的方式 different kind of  (G0007_S0001_0_SPK003-1745.060-1752.531.wav)
 with do cook it就有很多种不同的方式去做出来嘛  (G0007_S0001_0_SPK003-1752.738-1757.230.wav)
嗯对  (G0007_S0001_0_SPK003-1759.430-1760.680.wav)
嗯  (G0007_S0001_0_SPK003-1763.027-1763.620.wav)
所以那如果让你推荐一个成都美式去给一个外国人  (G0007_S0001_0_SPK003-1764.618-1770.746.wav)
那就 to fall never people你会推荐哪一款吗  (G0007_S0001_0_SPK003-1770.758-1774.510.wav)
好的炮  (G0007_S0001_0_SPK003-1776.650-1777.390.wav)
 had back  (G0007_S0001_0_SPK003-1777.730-1778.394.wav)
又来了是吧 you try again  (G0007_S0001_0_SPK003-1780.823-1783.733.wav)
嗯那在那在火锅你觉得火国是成都了美食 the hopo is famous in cheu  (G0007_S0001_0_SPK003-1785.170-1791.401.wav)
所以你觉得火锅里面最好吃的是什么  (G0007_S0001_0_SPK003-1791.756-1794.460.wav)
 the most delicious food the chiga  (G0007_S0001_0_SPK003-1795.340-1798.840.wav)
牛  (G0007_S0001_0_SPK003-1799.810-1800.370.wav)
去看  (G0007_S0001_0_SPK003-1801.040-1801.690.wav)
用 fish  (G0007_S0001_0_SPK003-1802.120-1803.010.wav)
你在吃火锅的时候你可以加一些语境去就加一些顺序  (G0007_S0001_0_SPK003-1803.470-1807.840.wav)
 fish ho port就还是比较喜欢吃鱼火锅一点就非常好  (G0007_S0001_0_SPK003-1814.840-1819.780.wav)
你都蹈心啊  (G0007_S0001_0_SPK003-1824.170-1825.090.wav)
啊 vegetables  (G0007_S0001_0_SPK003-1827.650-1828.930.wav)
哦 k所以我觉得美食每个人的口味选择都不都不同 we are different people  (G0007_S0001_0_SPK003-1830.830-1837.600.wav)
所以唯一 choose不同的选择对不对  (G0007_S0001_0_SPK003-1837.730-1841.740.wav)
嗯那  (G0007_S0001_0_SPK003-1842.367-1843.161.wav)
那你觉得嗯  (G0007_S0001_0_SPK003-1843.610-1845.520.wav)
你有没有去过其他城市你觉得你最记忆最深刻的美食就 decious food你记得是什么吗  (G0007_S0001_0_SPK003-1845.709-1853.530.wav)
嗯  (G0007_S0001_0_SPK003-1860.200-1860.760.wav)
 tomato  (G0007_S0001_0_SPK003-1862.960-1864.090.wav)
番茄过是不是  (G0007_S0001_0_SPK003-1864.790-1866.430.wav)
哎呀那个没  (G0007_S0001_0_SPK003-1867.550-1868.680.wav)
有肉吗有 meat吗如果没有 meat我就可能不会吃了  (G0007_S0001_0_SPK003-1868.930-1873.051.wav)
你知道我每天 i everyday都要吃 meat所以呢如果没有 meat我就估计不不会太喜欢  (G0007_S0001_0_SPK003-1878.057-1886.014.wav)
嗯对你可以加入一些去可能当那个  (G0007_S0001_0_SPK003-1890.888-1894.211.wav)
嗯 tomato put就番茄锅里面对不对  (G0007_S0001_0_SPK003-1894.468-1898.260.wav)
嗯对  (G0007_S0001_0_SPK003-1900.047-1901.020.wav)
嗯其实我之前还也去过其他国家你就你知道重庆对吧重庆  (G0007_S0001_0_SPK003-1901.390-1907.200.wav)
就  (G0007_S0001_0_SPK003-1907.510-1908.262.wav)
靠近程度很近 nearby nearby成 do对如果你坐高铁嘛就 subway或者是 train  (G0007_S0001_0_SPK003-1908.571-1916.433.wav)
嗯可能就大概只需要 two hours  (G0007_S0001_0_SPK003-1916.739-1920.160.wav)
如果 in to us  (G0007_S0001_0_SPK003-1921.220-1923.520.wav)
现在非常近啊就两个小时就到了对  (G0007_S0001_0_SPK003-1923.818-1926.671.wav)
然后呢那边的美食你觉得最出名的是什么因为你没有去过重庆对不对  (G0007_S0001_0_SPK003-1926.987-1932.460.wav)
你觉得最出名的就是 hopo  (G0007_S0001_0_SPK003-1932.680-1935.880.wav)
嗯所以  (G0007_S0001_0_SPK003-1937.420-1939.060.wav)
嗯对其实重庆我之前就去过嘛 i have been to重庆我去过两次  (G0007_S0001_0_SPK003-1946.090-1952.650.wav)
第一次我可能就去吃的是最出名的 hotpot我发现重庆和四川都非常像对不对  (G0007_S0001_0_SPK003-1952.840-1959.880.wav)
就和我们成都  (G0007_S0001_0_SPK003-1960.130-1961.290.wav)
就很像个 seem  (G0007_S0001_0_SPK003-1961.570-1963.202.wav)
然后呢他们那边出名就有 famous也就是 ho port  (G0007_S0001_0_SPK003-1963.538-1968.010.wav)
第二次我去吃了雨火锅 the fish hot pot  (G0007_S0001_0_SPK003-1968.218-1971.791.wav)
下一次我们一定要有空去吃一次那个为什么的  (G0007_S0001_0_SPK003-1972.019-1975.630.wav)
因为超级好吃就含有你喜欢的 potato  (G0007_S0001_0_SPK003-1977.547-1981.572.wav)
对然后你觉得如果你是重庆的话你觉得那你的美食除了火锅你还会喜欢吃什么呢  (G0007_S0001_0_SPK003-1983.740-1991.260.wav)
嗯就你的你只要想到重庆你就只想到了他们那里出名的美食就是火过  (G0007_S0001_0_SPK003-2004.350-2010.692.wav)
其他已经想不起了 you can't think other delicious food  (G0007_S0001_0_SPK003-2010.703-2015.560.wav)
那  (G0007_S0001_0_SPK003-2017.220-2017.758.wav)
嗯  (G0007_S0001_0_SPK003-2020.190-2020.810.wav)
嗯  (G0007_S0001_0_SPK003-2021.960-2022.760.wav)
嗯对  (G0007_S0001_0_SPK003-2024.570-2025.820.wav)
我觉得都是可以的  (G0007_S0001_0_SPK003-2026.040-2027.021.wav)
嗯那总那如果你觉得四川和成都就  (G0007_S0001_0_SPK003-2027.540-2031.502.wav)
嗯如果你选择一个车子万  (G0007_S0001_0_SPK003-2031.759-2034.102.wav)
嗯去选择去居住去吃它的美食你会选择哪一个呢  (G0007_S0001_0_SPK003-2034.349-2039.230.wav)
嗯  (G0007_S0001_0_SPK003-2043.560-2044.360.wav)
你更喜欢成都一点 you more like  (G0007_S0001_0_SPK003-2044.620-2047.752.wav)
嗯程度为什么呢就你觉得美食很多 they here are lot of delicious food  (G0007_S0001_0_SPK003-2048.090-2053.600.wav)
嗯  (G0007_S0001_0_SPK003-2056.940-2057.500.wav)
 all a lot of kinds of food right  (G0007_S0001_0_SPK003-2059.280-2062.060.wav)
嗯 i think so就我也觉得是这样子  (G0007_S0001_0_SPK003-2063.960-2067.812.wav)
对那在你的家里你平常可以做起到美食呢 how many in kinds of food can you make就是你平常在家里边  (G0007_S0001_0_SPK003-2068.078-2075.650.wav)
如果你要我搬家了啊 move house你就需要做美食对不对  (G0007_S0001_0_SPK003-2075.786-2080.592.wav)
那你会选择哪几个菜呢你可以简单介绍五个吗  (G0007_S0001_0_SPK003-2081.929-2086.060.wav)
 you cantrodu five kind of food you can me  (G0007_S0001_0_SPK003-2086.377-2090.181.wav)
嗯  (G0007_S0001_0_SPK003-2099.810-2100.670.wav)
天啊  (G0007_S0001_0_SPK003-2101.160-2101.810.wav)
 and  (G0007_S0001_0_SPK003-2102.480-2103.490.wav)
 to  (G0007_S0001_0_SPK003-2106.230-2106.850.wav)
 dumplings  (G0007_S0001_0_SPK003-2107.820-2108.890.wav)
那来的  (G0007_S0001_0_SPK003-2110.430-2111.230.wav)
啊 you can you can fly it you can cook it  (G0007_S0001_0_SPK003-2116.040-2121.250.wav)
嗯  (G0007_S0001_0_SPK003-2122.730-2123.620.wav)
嗯  (G0007_S0001_0_SPK003-2126.240-2127.070.wav)
 tomato and eggs to matter the exs  (G0007_S0001_0_SPK003-2130.650-2133.250.wav)
 and one more vegetable  (G0007_S0001_0_SPK003-2135.566-2137.839.wav)
年受 easy  (G0007_S0001_0_SPK003-2139.320-2141.170.wav)
我平常你知道我上一次班长吗就 i move my house我做了十几个菜  (G0007_S0001_0_SPK003-2141.390-2147.822.wav)
最出名的估计 the most famous is be becu  (G0007_S0001_0_SPK003-2148.200-2151.952.wav)
就我在家里面做烤肉就 be be curious然后呢  (G0007_S0001_0_SPK003-2152.917-2156.150.wav)
嗯嗯对我们在家里面吃了很多的烤肉  (G0007_S0001_0_SPK003-2156.398-2160.340.wav)
就 meat你知道我最喜欢的就是 me团还要做了很多鸡肉呀 the chickenic就用鸡大腿  (G0007_S0001_0_SPK003-2160.410-2167.720.wav)
去做烤肉然后去做各种好吃的  (G0007_S0001_0_SPK003-2167.878-2171.710.wav)
他让我印象深刻对  (G0007_S0001_0_SPK003-2171.960-2174.020.wav)
然后嗯那你觉得如果从成都扩大到整个中国  (G0007_S0001_0_SPK003-2175.939-2183.663.wav)
你最觉得最好吃的美食有什么  (G0007_S0001_0_SPK003-2183.977-2186.692.wav)
 the most delicious food你觉得在整个  (G0007_S0001_0_SPK003-2188.070-2191.690.wav)
背起你在整个中国  (G0007_S0001_0_SPK003-2192.120-2194.690.wav)
对  (G0007_S0001_0_SPK003-2194.940-2195.440.wav)
嗯  (G0007_S0001_0_SPK003-2200.010-2200.900.wav)
对比如说  (G0007_S0001_0_SPK003-2201.120-2202.970.wav)
嗯因为吃了会变温暖变 warm对不对因为南方这边经常 rain就 raining days  (G0007_S0001_0_SPK003-2206.730-2213.500.wav)
对在北方的话可能就气候干燥嘛 the weather is drive  (G0007_S0001_0_SPK003-2213.840-2218.293.wav)
就你知道北方不修沙漠吗 the desert  (G0007_S0001_0_SPK003-2218.608-2221.840.wav)
对  (G0007_S0001_0_SPK003-2222.480-2222.980.wav)
嗯对所以他们可能就会吃 rice  (G0007_S0001_0_SPK003-2223.680-2226.850.wav)
或者是馒头  (G0007_S0001_0_SPK003-2227.208-2228.671.wav)
嗯  (G0007_S0001_0_SPK003-2230.280-2230.960.wav)
它们那边还会种植种植 corn就玉米  (G0007_S0001_0_SPK003-2232.548-2237.230.wav)
对  (G0007_S0001_0_SPK003-2240.810-2241.460.wav)
嗯度odles啊那你应该送到北方去 the north place  (G0007_S0001_0_SPK003-2243.270-2247.784.wav)
你送到北方句你就可以每天吃你最喜欢的 boods everyday  (G0007_S0001_0_SPK003-2249.273-2253.599.wav)
对  (G0007_S0001_0_SPK003-2255.960-2256.700.wav)
我也觉得嗯你知道  (G0007_S0001_0_SPK003-2256.950-2259.580.wav)
南方的话因为它气候的原因嘛所以美食的话大概多数可能都是偏重了一点点的  (G0007_S0001_0_SPK003-2259.848-2266.352.wav)
就比较火特一点点  (G0007_S0001_0_SPK003-2266.818-2268.340.wav)
但是在北方的话就因为气候比较干燥  (G0007_S0001_0_SPK003-2268.569-2271.872.wav)
人们为了保持  (G0007_S0001_0_SPK003-2272.128-2273.710.wav)
嗯  (G0007_S0001_0_SPK003-2274.320-2274.820.wav)
嗯为什么呢 why  (G0007_S0001_0_SPK003-2280.290-2282.410.wav)
你  (G0007_S0001_0_SPK003-2285.990-2286.580.wav)
 on are so cold  (G0007_S0001_0_SPK003-2287.828-2289.473.wav)
就在北方上面的莫斯科都特别冷你知道吗冷刀我看到那个雪那个新呐我都有特别特别厚  (G0007_S0001_0_SPK003-2289.708-2297.433.wav)
是什么 beef  (G0007_S0001_0_SPK003-2304.530-2305.720.wav)
是壁f还有 ship  (G0007_S0001_0_SPK003-2306.060-2308.390.wav)
 the mountain  (G0007_S0001_0_SPK003-2309.120-2309.950.wav)
 the muton对他们可能会吃牛肉羊肉来保持身体的一个问吧  (G0007_S0001_0_SPK003-2310.170-2315.110.wav)
要不然的话就可能会被冻得不行  (G0007_S0001_0_SPK003-2315.390-2318.283.wav)
你  (G0007_S0001_0_SPK003-2320.280-2320.780.wav)
你觉得会是 big还是什么你觉得在  (G0007_S0001_0_SPK003-2321.630-2324.607.wav)
你觉得在北方的鱼是大的还是小的 big and small我觉得可能是大的吧  (G0007_S0001_0_SPK003-2325.873-2330.943.wav)
北方的人嘛都要比我们这里高一点  (G0007_S0001_0_SPK003-2335.829-2339.362.wav)
嗯对 tall比较高并且呢更加强壮是 strong  (G0007_S0001_0_SPK003-2341.008-2346.353.wav)
所以他们在做美食的时候其实就比较喜欢  (G0007_S0001_0_SPK003-2346.588-2350.000.wav)
放各种不一样的  (G0007_S0001_0_SPK003-2350.280-2351.756.wav)
一个大锅里面大锅炖我不知道你听过东北伦炖没有  (G0007_S0001_0_SPK003-2352.159-2356.322.wav)
那就是  (G0007_S0001_0_SPK003-2356.559-2357.632.wav)
不明的美食  (G0007_S0001_0_SPK003-2358.242-2358.999.wav)
 the famous嗯 food  (G0007_S0001_0_SPK003-2360.419-2362.870.wav)
嗯对嗯因为讲就 paper  (G0007_S0001_0_SPK003-2376.620-2380.283.wav)
在南方的话就比较潮湿嘛就比较湿 raing day就  (G0007_S0001_0_SPK003-2380.509-2385.703.wav)
每一天可能都比较有雨呀或者是怎么样之类就可能需要吃一些 pre  (G0007_S0001_0_SPK003-2385.978-2391.542.wav)
来把身体的那种还能给取走  (G0007_S0001_0_SPK003-2391.848-2394.413.wav)
对不对  (G0007_S0001_0_SPK003-2395.250-2395.840.wav)
嗯对在北方的话可能就需要一些更加  (G0007_S0001_0_SPK003-2397.800-2400.973.wav)
后食一点的食物就比较后食的负得  (G0007_S0001_0_SPK003-2401.291-2405.349.wav)
让身体保持能量  (G0007_S0001_0_SPK003-2405.557-2407.203.wav)
 for a energe是从哪里面  (G0007_S0001_0_SPK003-2407.490-2410.240.wav)
嗯  (G0007_S0001_0_SPK003-2413.370-2413.930.wav)
嗯对是这样子的  (G0007_S0001_0_SPK003-2415.230-2417.170.wav)
嗯嗯那你  (G0007_S0001_0_SPK003-2418.050-2419.720.wav)
你说  (G0007_S0001_0_SPK003-2420.240-2421.010.wav)
嗯  (G0007_S0001_0_SPK003-2426.390-2427.010.wav)
嗯对  (G0007_S0001_0_SPK003-2430.260-2431.150.wav)
嗯  (G0007_S0001_0_SPK003-2434.490-2435.200.wav)
对那你觉得因为你知道我们现在嘛 now就我们现在  (G0007_S0001_0_SPK003-2437.690-2442.835.wav)
就比较城市生活 city life  (G0007_S0001_0_SPK003-2442.874-2445.880.wav)
和我们小古时候  (G0007_S0001_0_SPK003-2446.132-2449.072.wav)
或者是小时候的美食有什么不一样的 different改变呢你有没有印象呢  (G0007_S0001_0_SPK003-2449.105-2454.589.wav)
不难  (G0008_S0001_0_SPK002-13.011-13.424.wav)
嗯嗯嗯  (G0008_S0001_0_SPK002-14.025-14.875.wav)
好  (G0008_S0001_0_SPK002-15.560-16.120.wav)
这收拾太多了  (G0008_S0001_0_SPK002-20.000-21.310.wav)
嗯好  (G0008_S0001_0_SPK002-34.490-35.441.wav)
北京爱数智慧语音采集  (G0008_S0001_0_SPK002-36.020-38.173.wav)
我们接下来聊的话题是美食  (G0008_S0001_0_SPK002-42.737-44.950.wav)
嗯你平时都喜欢做些什么美食啊  (G0008_S0001_0_SPK002-48.680-51.550.wav)
嗯  (G0008_S0001_0_SPK002-59.000-59.618.wav)
我平时就比较喜欢吃那个黄瓜然后 tomato呃然后嗯  (G0008_S0001_0_SPK002-79.250-85.956.wav)
嗯反正就那种素食  (G0008_S0001_0_SPK002-87.440-90.220.wav)
好吧我第一次知道那个欧洲还可以声弄成三茄草蛋在农成番茄汤  (G0008_S0001_0_SPK002-110.456-116.956.wav)
哦好的那你那你平时的话经常自己在家做饭吗  (G0008_S0001_0_SPK002-133.640-138.305.wav)
嗯  (G0008_S0001_0_SPK002-150.980-151.532.wav)
嗯我平时也很喜欢吃 make因为我觉得没有人不喜欢肉肉吧  (G0008_S0001_0_SPK002-179.660-185.461.wav)
哦 c f的  (G0008_S0001_0_SPK002-198.260-199.470.wav)
我平时就自己经常在那个外面买回来自己做嗯菲inish和那个虾那些之类的  (G0008_S0001_0_SPK002-199.548-206.672.wav)
然后平时的话一般喜欢重口的麻辣一点的  (G0008_S0001_0_SPK002-206.928-210.250.wav)
嗯  (G0008_S0001_0_SPK002-234.867-235.460.wav)
嗯  (G0008_S0001_0_SPK002-240.710-241.329.wav)
我平时也很喜欢吃那个甜虾然后那个甜下的话价格是有一点偏贵的那种是吧但是它  (G0008_S0001_0_SPK002-244.148-251.166.wav)
就味道确实很甜美  (G0008_S0001_0_SPK002-251.343-253.253.wav)
然后就是你那你就是说除了海鲜之外你平时还喜欢吃其他什么美食吗  (G0008_S0001_0_SPK002-253.464-259.269.wav)
嗯  (G0008_S0001_0_SPK002-285.860-286.492.wav)
嗯 being pat我知道那个嗯四川的那个特色最出名的就是  (G0008_S0001_0_SPK002-292.445-298.681.wav)
齐现的 beentest然后的话就是平时我们这边的话  (G0008_S0001_0_SPK002-298.714-304.687.wav)
就跟你那边吃法是一样的我们喜欢拿来红烧东西然后握着做那种酱酱效味的那种口味  (G0008_S0001_0_SPK002-304.719-311.651.wav)
就麻辣了的东西是少不了那个豆瓣儿这样的  (G0008_S0001_0_SPK002-311.870-315.010.wav)
但是我就事实说的话我平时的话  (G0008_S0001_0_SPK002-315.980-318.422.wav)
就跟你的饮食习惯有一点像吧我也喜欢吃你说的那些东西但嗯  (G0008_S0001_0_SPK002-318.680-324.241.wav)
自己在家做美食也是一种很好的体验就我就很喜欢  (G0008_S0001_0_SPK002-324.704-328.900.wav)
自己周末的休息的时候然后就很多那种 delicious的好吃的然后就  (G0008_S0001_0_SPK002-329.106-334.643.wav)
觉得心情特别的好  (G0008_S0001_0_SPK002-335.170-336.790.wav)
嗯嗯  (G0008_S0001_0_SPK002-357.710-358.630.wav)
嗯小炒肉我吃过但是就每个地方的做法可能不太一样我  (G0008_S0001_0_SPK002-367.250-372.773.wav)
我们家面的话就一般就是用那个 ma然后和那个青椒涮苗然后一起就大火报炒  (G0008_S0001_0_SPK002-372.997-380.650.wav)
哦  (G0008_S0001_0_SPK002-406.880-407.740.wav)
那  (G0008_S0001_0_SPK002-408.125-408.581.wav)
我觉得那样想着是很好吃想一想你说的那个味道我就觉得很美味很好吃  (G0008_S0001_0_SPK002-409.214-414.370.wav)
嗯  (G0008_S0001_0_SPK002-427.130-427.930.wav)
我们这边菠萝卖的  (G0008_S0001_0_SPK002-429.893-431.410.wav)
一般都几百块平时一般都舍不得吃的  (G0008_S0001_0_SPK002-431.974-435.040.wav)
哦我知道  (G0008_S0001_0_SPK002-441.890-443.020.wav)
广东那边很流行的那种吃法对吧  (G0008_S0001_0_SPK002-443.778-446.440.wav)
 many green paper有这么多吃法的吗  (G0008_S0001_0_SPK002-456.398-458.897.wav)
